ods,path,Direction,status,price,time
od_1024,495,NB,open,0.85,26-09-2021 11:20
od_1025,495,NB,open,0.9,26-09-2021 11:19
od_1026,495,NB,open,1.1,26-09-2021 11:20
od_1027,495,NB,open,1.3,26-09-2021 11:19
od_1028,495,NB,open,1.5,26-09-2021 11:19
od_1029,495,NB,open,1.7,26-09-2021 11:20
od_1030,495,NB,open,0.85,26-09-2021 11:20
od_1031,495,NB,open,0.85,26-09-2021 11:19
od_1032,495,NB,open,0.85,26-09-2021 11:20
od_1033,495,NB,open,0.85,26-09-2021 11:19
od_1034,495,NB,open,1,26-09-2021 11:20
od_1035,495,NB,open,0.85,26-09-2021 11:20
od_1036,495,NB,open,0.85,26-09-2021 11:20
od_1037,495,NB,open,0.85,26-09-2021 11:20
od_1038,495,NB,open,0.85,26-09-2021 11:20
od_1039,495,SB,open,2.5,26-09-2021 11:19
od_1040,495,SB,open,2.5,26-09-2021 11:19
od_1041,495,SB,open,2.5,26-09-2021 11:20
od_1042,495,SB,open,2.2,26-09-2021 11:19
od_1043,495,SB,open,1.7,26-09-2021 11:19
od_1044,495,SB,open,1.1,26-09-2021 11:20
od_1045,495,SB,open,0.85,26-09-2021 11:19
od_1046,495,SB,open,0.85,26-09-2021 11:20
od_1047,495,SB,open,2.3,26-09-2021 11:19
od_1048,495,SB,open,2.3,26-09-2021 11:19
od_1049,495,SB,open,2.3,26-09-2021 11:20
od_1050,495,SB,open,2,26-09-2021 11:19
od_1051,495,SB,open,1.5,26-09-2021 11:19
od_1052,495,SB,open,0.9,26-09-2021 11:20
od_1053,495,SB,open,0.85,26-09-2021 11:20
od_1054,495,SB,open,2.1,26-09-2021 11:19
od_1055,495,SB,open,2.1,26-09-2021 11:20
od_1056,495,SB,open,2.1,26-09-2021 11:20
od_1057,495,SB,open,1.8,26-09-2021 11:20
od_1058,495,SB,open,1.3,26-09-2021 11:19
od_1059,495,SB,open,0.85,26-09-2021 11:20
od_1060,495,SB,open,0.85,26-09-2021 11:19
od_1061,495,SB,open,1.9,26-09-2021 11:19
od_1062,495,SB,open,1.9,26-09-2021 11:19
od_1063,495,SB,open,1.9,26-09-2021 11:20
od_1064,495,SB,open,1.6,26-09-2021 11:20
od_1065,495,SB,open,1.1,26-09-2021 11:19
od_1066,495,SB,open,0.85,26-09-2021 11:20
od_1067,495,SB,open,1.7,26-09-2021 11:19
od_1068,495,SB,open,1.7,26-09-2021 11:19
od_1069,495,SB,open,1.7,26-09-2021 11:20
od_1070,495,SB,open,1.4,26-09-2021 11:20
od_1071,495,SB,open,0.9,26-09-2021 11:19
od_1072,495,SB,open,0.85,26-09-2021 11:20
od_1073,495,SB,open,1.4,26-09-2021 11:19
od_1074,495,SB,open,1.4,26-09-2021 11:19
od_1075,495,SB,open,1.2,26-09-2021 11:20
od_1076,495,SB,open,0.9,26-09-2021 11:20
od_1077,495,SB,open,0.85,26-09-2021 11:20
od_1078,495,SB,open,1.2,26-09-2021 11:19
od_1079,495,SB,open,1.2,26-09-2021 11:19
od_1080,495,SB,open,1.2,26-09-2021 11:20
od_1081,495,SB,open,0.9,26-09-2021 11:20
od_1082,495,SB,open,0.85,26-09-2021 11:20
od_1083,495,SB,open,null,26-09-2021 05:13
od_1084,495,SB,open,null,26-09-2021 05:13
od_1085,495,NB,open,null,26-09-2021 05:13
od_1086,495,NB,open,1.45,26-09-2021 11:19
od_1087,495,NB,open,1.75,26-09-2021 11:19
od_1088,495,NB,open,1.95,26-09-2021 11:19
od_1089,495,NB,open,2.15,26-09-2021 11:19
od_1090,495,NB,open,2.35,26-09-2021 11:19
od_1091,495,NB,open,2.55,26-09-2021 11:19
od_1092,495,NB,open,2.75,26-09-2021 11:19
od_1093,495,SB,open,0.85,26-09-2021 11:19
od_1094,95,NB,open,3.05,26-09-2021 11:20
od_1095,95,NB,open,5,26-09-2021 11:20
od_1096,95,NB,open,5,26-09-2021 11:20
od_1097,95,NB,open,5.45,26-09-2021 11:19
od_1098,95,NB,open,6.35,26-09-2021 11:19
od_1099,95,NB,open,6.35,26-09-2021 11:19
od_1100,95,NB,open,1.55,26-09-2021 11:20
od_1101,95,NB,open,3.5,26-09-2021 11:20
od_1102,95,NB,open,3.5,26-09-2021 11:20
od_1103,95,NB,open,3.95,26-09-2021 11:19
od_1104,95,NB,open,4.9,26-09-2021 11:19
